"國家/地區","确诊[註 1]","死亡","治癒","参考资料",
" 厄利垂亞","6,277","29","5,842","[222]",
" 塞拉利昂","6,003","110","3,927","詳[223]",
" 蒲隆地","5,608","8","773","[224]",
" 尼日尔","5,538","194","5,230","[225]",
" 聖露西亞","5,399","86","5,188","詳[226]",
" 利比里亞","5,102","144","2,588","[227]",
" 聖馬力諾","5,092","90","5,002","[228]",
" 乍得","4,954","174","4,777","[229]",
" 直布羅陀","4,430","94","4,254","詳[230]",
" 巴貝多","4,136","48","4,036","[231]",
" 科摩羅","3,996","146","3,790","[232]",
" 幾內亞比索","3,940","70","3,627","[233]",
" 澤西","3,353","76","2,997","詳[234]",
" 列支敦斯登","3,099","59","3,022","[235][236]",
" 紐西蘭","2,767","26","2,707","詳[237]",
" 寮國","2,719","3","2,174","[238]",
" 荷屬聖馬丁","2,638","34","2,582","[239]",
" 摩納哥","2,622","33","2,542","詳[240]",
" 百慕達","2,521","33","2,473","[241]",
" 特克斯和凯科斯群岛","2,436","18","2,400","[242]",
" 聖多美和普林西比","2,392","37","2,327","[243]",
" 不丹","2,275","1","1,973","詳[244]",
" 圣文森特和格林纳丁斯","2,241","12","2,141","詳[245]",
" 毛里裘斯","1,858","18","1,534","[246]",
" 马恩岛","1,684","29","1,571","[247]",
" 安提瓜和巴布達","1,266","42","1,222","詳[248]",
" 國際運輸","735","14","644","詳[註 26]",
" 法羅群島","668","1","662","[252]",
" 開曼群島","548","2","537","詳[253]",
" 坦桑尼亞","509","21","183","詳[註 27][254]",
" 根西","293","13","276","詳[255]",
" 汶萊","241","3","228","詳[256]",
" 英屬維京群島","216","1","191","[257]",
" 多米尼克","178","0","176","[258]",
" 格林納達","160","1","158","[259]",
" 北馬利安納群島","135","2","32","[260]",
" 新喀里多尼亞","124","0","58","詳[261]",
" 安圭拉","109","0","107","[262]",
" 奧蘭群島","91","0","0","[263]",
" 澳門","77","0","76","詳[264]",
" 福克蘭群島","62","0","55","[265]",
" 南極洲","58","0","0","詳[266]",
" 聖基茨和尼維斯","44","0","44","[267]",
" 格陵蘭","31","0","31","詳[268]",
"　梵蒂岡","29","0","27","詳[269]",
" 圣皮埃尔和密克隆","30","0","30","[270]",
" 圣尤斯特歇斯","24","0","21","[271]",
" 蒙特塞拉特","20","1","19","[272]",
" 所罗门群岛","20","0","18","[273]",
" 亞克羅提利與德凱利亞","11","0","0","[274]",
" 薩巴","10","0","8","[275][276]",
" 博奈爾","5","0","5","[277]",
" 瓦努阿图","4","1","1","[278]",
" 马绍尔群岛","4","0","4","[279]",
" 薩摩亞","3","0","2","[280]",
" 基里巴斯","2","0","0","[281]",
" 帕劳","2","0","2","[282]",
" 密克罗尼西亚联邦","2","0","1","[283]",
" 東加","1","0","0","",
"病例数据：中國大陸病例數、全球病例數、全球死亡病例數",
"數據截至2021年11月17日 • 查论编",
